fork,execve,read,write,open,close,socket,connect,accept,send,recv
0,0,684,816,0,0,0,0,0,0,0
0,9,563,380,373,175,0,0,0,0,0
0,0,742,732,13,13,0,0,0,0,0
0,0,741,759,0,0,0,0,0,0,0
0,4,722,493,185,96,0,0,0,0,0
0,0,735,762,1,2,0,0,0,0,0
0,0,736,750,7,7,0,0,0,0,0
0,1,752,657,56,34,0,0,0,0,0
0,0,741,759,0,0,0,0,0,0,0
0,0,763,698,20,19,0,0,0,0,0
0,1,731,701,44,23,0,0,0,0,0
0,0,741,755,2,2,0,0,0,0,0
0,0,766,696,19,19,0,0,0,0,0
0,1,718,717,43,21,0,0,0,0,0
0,0,739,757,2,2,0,0,0,0,0
0,1,758,639,62,40,0,0,0,0,0
0,0,730,770,0,0,0,0,0,0,0
0,0,712,770,9,9,0,0,0,0,0
0,1,759,652,55,33,0,0,0,0,0
0,0,738,758,2,2,0,0,0,0,0
0,0,776,686,19,19,0,0,0,0,0
0,1,704,731,43,21,0,0,0,0,0
0,0,735,761,2,2,0,0,0,0,0
0,2,721,606,108,63,0,0,0,0,0
0,15,473,61,639,312,0,0,0,0,0
0,11,590,82,530,287,0,0,0,0,0
0,7,696,297,324,176,0,0,0,0,0
0,7,608,348,331,206,0,0,0,0,0
0,13,452,39,654,342,0,0,0,0,0
0,14,454,42,637,353,0,0,0,0,0
0,0,32,3,38,18,0,0,0,0,0
0,21,254,72,819,334,0,0,0,0,0
0,15,374,117,672,322,0,0,0,0,0
0,6,615,402,296,181,0,0,0,0,0
0,4,640,447,249,160,0,0,0,0,0
0,3,517,379,333,268,0,0,0,0,0
0,0,491,514,248,247,0,0,0,0,0
0,9,424,292,474,301,0,0,0,0,0
0,4,468,362,381,285,0,0,0,0,0
0,0,426,551,260,263,0,0,0,0,0
0,14,456,65,635,330,0,0,0,0,0
0,14,476,46,638,326,0,0,0,0,0
0,17,427,56,680,320,0,0,0,0,0
0,13,453,66,636,332,0,0,0,0,0
0,12,483,75,598,332,0,0,0,0,0
0,10,540,327,424,199,0,0,0,0,0
0,14,487,91,606,302,0,0,0,0,0
0,10,429,43,620,398,0,0,0,0,0
0,0,442,11,524,523,0,0,0,0,0
0,0,486,20,496,498,0,0,0,0,0
0,14,447,46,652,341,0,0,0,0,0
0,8,570,452,314,156,0,0,0,0,0
0,14,454,63,650,319,0,0,0,0,0
0,12,486,193,536,273,0,0,0,0,0
0,10,450,120,569,351,0,0,0,0,0
0,2,716,592,117,73,0,0,0,0,0
0,2,649,708,92,49,0,0,0,0,0
0,1,688,701,66,44,0,0,0,0,0
0,0,683,817,0,0,0,0,0,0,0
0,0,642,858,0,0,0,0,0,0,0
0,9,614,303,386,188,0,0,0,0,0
0,0,704,796,0,0,0,0,0,0,0
0,0,725,775,0,0,0,0,0,0,0
0,4,712,500,186,98,0,0,0,0,0
0,0,732,768,0,0,0,0,0,0,0
0,0,715,767,9,9,0,0,0,0,0
0,1,760,653,54,32,0,0,0,0,0
0,0,742,754,2,2,0,0,0,0,0
0,0,762,700,19,19,0,0,0,0,0
0,1,707,728,43,21,0,0,0,0,0
0,0,714,782,2,2,0,0,0,0,0
0,1,723,674,62,40,0,0,0,0,0
0,0,738,762,0,0,0,0,0,0,0
0,0,737,747,8,8,0,0,0,0,0
0,1,728,681,56,34,0,0,0,0,0
0,0,731,765,2,2,0,0,0,0,0
0,0,770,692,19,19,0,0,0,0,0
0,1,706,729,43,21,0,0,0,0,0
0,0,736,760,2,2,0,0,0,0,0
0,1,727,670,62,40,0,0,0,0,0
0,0,731,769,0,0,0,0,0,0,0
0,0,723,763,7,7,0,0,0,0,0
0,6,653,368,299,174,0,0,0,0,0
0,16,463,60,660,301,0,0,0,0,0
0,10,642,83,489,276,0,0,0,0,0
0,3,728,539,148,82,0,0,0,0,0
0,11,505,103,559,322,0,0,0,0,0
0,14,444,42,652,348,0,0,0,0,0
0,9,334,30,449,249,0,0,0,0,0
