fork,execve,read,write,open,close,socket,connect,accept,send,recv
0,0,25,1397,57,21,0,0,0,0,0
0,0,0,1500,0,0,0,0,0,0,0
0,0,0,1500,0,0,0,0,0,0,0
0,0,0,33,0,1,0,0,0,0,0
