fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,1,718,679,63,39,0,0,0,0,0,perlbench_s
0,16,459,63,642,320,0,0,0,0,0,perlbench_s
0,11,571,83,552,283,0,0,0,0,0,perlbench_s
0,7,718,235,344,196,0,0,0,0,0,perlbench_s
0,5,644,404,277,170,0,0,0,0,0,perlbench_s
0,14,438,42,657,349,0,0,0,0,0,perlbench_s
0,13,460,42,631,354,0,0,0,0,0,perlbench_s
0,2,66,6,95,46,0,0,0,0,0,perlbench_s
0,21,254,72,819,334,0,0,0,0,0,perlbench_s
0,16,364,117,673,330,0,0,0,0,0,perlbench_s
0,5,640,402,280,173,0,0,0,0,0,perlbench_s
0,4,644,445,256,151,0,0,0,0,0,perlbench_s
0,3,521,376,332,268,0,0,0,0,0,perlbench_s
0,0,498,498,252,252,0,0,0,0,0,perlbench_s
0,7,432,342,426,293,0,0,0,0,0,perlbench_s
0,6,458,329,422,285,0,0,0,0,0,perlbench_s
0,0,436,536,264,264,0,0,0,0,0,perlbench_s
0,12,437,133,589,329,0,0,0,0,0,perlbench_s
0,15,462,46,654,323,0,0,0,0,0,perlbench_s
0,15,451,53,656,325,0,0,0,0,0,perlbench_s
0,14,443,63,646,334,0,0,0,0,0,perlbench_s
0,12,482,81,595,330,0,0,0,0,0,perlbench_s
0,10,544,328,419,199,0,0,0,0,0,perlbench_s
0,15,463,46,655,321,0,0,0,0,0,perlbench_s
0,11,474,92,582,341,0,0,0,0,0,perlbench_s
0,0,423,9,534,534,0,0,0,0,0,perlbench_s
0,0,486,20,497,497,0,0,0,0,0,perlbench_s
0,11,445,41,623,380,0,0,0,0,0,perlbench_s
0,7,577,444,312,160,0,0,0,0,0,perlbench_s
0,14,480,52,634,320,0,0,0,0,0,perlbench_s
0,14,450,205,563,268,0,0,0,0,0,perlbench_s
0,9,428,129,569,365,0,0,0,0,0,perlbench_s
0,5,669,434,253,139,0,0,0,0,0,perlbench_s
0,2,641,716,92,49,0,0,0,0,0,perlbench_s
0,1,733,656,66,44,0,0,0,0,0,perlbench_s
0,0,640,860,0,0,0,0,0,0,0,perlbench_s
0,0,649,851,0,0,0,0,0,0,0,perlbench_s
0,9,563,405,361,162,0,0,0,0,0,perlbench_s
0,0,754,695,25,26,0,0,0,0,0,perlbench_s
0,0,702,798,0,0,0,0,0,0,0,perlbench_s
0,3,673,626,133,65,0,0,0,0,0,perlbench_s
0,1,763,650,53,33,0,0,0,0,0,perlbench_s
0,0,723,773,2,2,0,0,0,0,0,perlbench_s
0,1,688,711,61,39,0,0,0,0,0,perlbench_s
0,0,732,768,0,0,0,0,0,0,0,perlbench_s
0,0,703,779,9,9,0,0,0,0,0,perlbench_s
0,1,743,668,55,33,0,0,0,0,0,perlbench_s
0,0,740,756,2,2,0,0,0,0,0,perlbench_s
0,0,737,725,19,19,0,0,0,0,0,perlbench_s
0,1,711,724,43,21,0,0,0,0,0,perlbench_s
0,0,732,764,2,2,0,0,0,0,0,perlbench_s
0,1,719,678,62,40,0,0,0,0,0,perlbench_s
0,0,737,763,0,0,0,0,0,0,0,perlbench_s
0,0,707,772,12,9,0,0,0,0,0,perlbench_s
0,1,745,669,52,33,0,0,0,0,0,perlbench_s
0,0,741,755,2,2,0,0,0,0,0,perlbench_s
0,0,760,702,19,19,0,0,0,0,0,perlbench_s
0,1,711,724,43,21,0,0,0,0,0,perlbench_s
0,0,733,763,2,2,0,0,0,0,0,perlbench_s
0,3,692,551,161,93,0,0,0,0,0,perlbench_s
0,16,450,63,658,313,0,0,0,0,0,perlbench_s
