fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,50,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,115,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
0,0,25,1397,57,21,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,1500,0,0,0,0,0,0,0,omnetpp_r
0,0,0,33,0,1,0,0,0,0,0,omnetpp_r
